commune,station,no2_value,date_local,seuil_info_recommandation,seuil_alerte
Donges,LA MEGRETAIS,6.4,2025-05-20,200,400
Frossay,FROSSAY,3.2,2025-05-20,200,400
Saint-Etienne-De-Montluc,SAINT ETIENNE DE MONTLUC,3.0,2025-05-20,200,400
Trignac,JULES VERNE,5.5,2025-05-20,200,400
Cholet,SAINT EXUPERY,4.8,2025-05-20,200,400
Saint-Nazaire,LEON BLUM,5.6,2025-05-20,200,400
Angers,BEAUX ARTS,7.2,2025-05-20,200,400
Laval,MAZAGRAN,8.8,2025-05-20,200,400
La Tardière,LA TARDIERE,2.0,2025-05-20,200,400
Angers,APPENTIS,6.0,2025-05-20,200,400
La Roche-Sur-Yon,DELACROIX,4.0,2025-05-20,200,400
Le Mans,GUEDOU,7.7,2025-05-20,200,400
Saint-Denis-D'Anjou,SAINT DENIS D'ANJOU,4.3,2025-05-20,200,400
Donges,PARSCAU DU PLESSIS,5.2,2025-05-20,200,400
Saint-Nazaire,PARC PAYSAGER,4.3,2025-05-20,200,400
Le Mans,SOURCES,6.7,2025-05-20,200,400
Nantes,CIM BOUTEILLERIE,4.8,2025-05-20,200,400
Bouguenais,LES COUETS,7.2,2025-05-20,200,400
Montoir-De-Bretagne,CAMEE,4.7,2025-05-20,200,400
Nantes,FRERES GONCOURT,16.0,2025-05-20,200,400
Laval,RUE DE LA PAIX,16.0,2025-05-20,200,400
Nantes,PRAIRIE AU DUC,6.8,2025-05-20,200,400
Donges,LA MEGRETAIS,3.9,2025-05-19,200,400
Frossay,FROSSAY,3.2,2025-05-19,200,400
Saint-Etienne-De-Montluc,SAINT ETIENNE DE MONTLUC,3.5,2025-05-19,200,400
Trignac,JULES VERNE,6.5,2025-05-19,200,400
Cholet,SAINT EXUPERY,5.8,2025-05-19,200,400
Saint-Nazaire,LEON BLUM,7.2,2025-05-19,200,400
Angers,BEAUX ARTS,5.6,2025-05-19,200,400
Laval,MAZAGRAN,5.8,2025-05-19,200,400
La Tardière,LA TARDIERE,2.9,2025-05-19,200,400
Angers,APPENTIS,5.5,2025-05-19,200,400
La Roche-Sur-Yon,DELACROIX,6.3,2025-05-19,200,400
Le Mans,GUEDOU,6.7,2025-05-19,200,400
Saint-Denis-D'Anjou,SAINT DENIS D'ANJOU,3.4,2025-05-19,200,400
Donges,PARSCAU DU PLESSIS,3.5,2025-05-19,200,400
Saint-Nazaire,PARC PAYSAGER,7.8,2025-05-19,200,400
Le Mans,SOURCES,4.8,2025-05-19,200,400
Nantes,CIM BOUTEILLERIE,5.4,2025-05-19,200,400
Bouguenais,LES COUETS,8.1,2025-05-19,200,400
Montoir-De-Bretagne,CAMEE,4.3,2025-05-19,200,400
Nantes,FRERES GONCOURT,19.0,2025-05-19,200,400
Laval,RUE DE LA PAIX,10.0,2025-05-19,200,400
Nantes,PRAIRIE AU DUC,7.9,2025-05-19,200,400
Donges,LA MEGRETAIS,4.1,2025-05-18,200,400
Frossay,FROSSAY,3.6,2025-05-18,200,400
Saint-Etienne-De-Montluc,SAINT ETIENNE DE MONTLUC,3.4,2025-05-18,200,400
Trignac,JULES VERNE,4.9,2025-05-18,200,400
Cholet,SAINT EXUPERY,4.4,2025-05-18,200,400
Saint-Nazaire,LEON BLUM,7.5,2025-05-18,200,400
Angers,BEAUX ARTS,4.4,2025-05-18,200,400
Laval,MAZAGRAN,4.2,2025-05-18,200,400
La Tardière,LA TARDIERE,2.4,2025-05-18,200,400
Angers,APPENTIS,4.1,2025-05-18,200,400
La Roche-Sur-Yon,DELACROIX,3.5,2025-05-18,200,400
Le Mans,GUEDOU,5.7,2025-05-18,200,400
Saint-Denis-D'Anjou,SAINT DENIS D'ANJOU,3.1,2025-05-18,200,400
Donges,PARSCAU DU PLESSIS,3.8,2025-05-18,200,400
Saint-Nazaire,PARC PAYSAGER,8.5,2025-05-18,200,400
Le Mans,SOURCES,3.9,2025-05-18,200,400
Nantes,CIM BOUTEILLERIE,4.6,2025-05-18,200,400
Bouguenais,LES COUETS,4.6,2025-05-18,200,400
Angers,ROI RENE,14.0,2025-05-18,200,400
Montoir-De-Bretagne,CAMEE,3.8,2025-05-18,200,400
Nantes,FRERES GONCOURT,17.0,2025-05-18,200,400
Laval,RUE DE LA PAIX,4.4,2025-05-18,200,400
Nantes,PRAIRIE AU DUC,6.5,2025-05-18,200,400
Donges,LA MEGRETAIS,4.4,2025-05-17,200,400
Frossay,FROSSAY,3.3,2025-05-17,200,400
Saint-Etienne-De-Montluc,SAINT ETIENNE DE MONTLUC,3.0,2025-05-17,200,400
Trignac,JULES VERNE,5.7,2025-05-17,200,400
Cholet,SAINT EXUPERY,4.0,2025-05-17,200,400
Saint-Nazaire,LEON BLUM,7.8,2025-05-17,200,400
Angers,BEAUX ARTS,4.2,2025-05-17,200,400
Laval,MAZAGRAN,4.6,2025-05-17,200,400
La Tardière,LA TARDIERE,1.9,2025-05-17,200,400
Angers,APPENTIS,3.9,2025-05-17,200,400
La Roche-Sur-Yon,DELACROIX,3.9,2025-05-17,200,400
Le Mans,GUEDOU,6.4,2025-05-17,200,400
Saint-Denis-D'Anjou,SAINT DENIS D'ANJOU,2.6,2025-05-17,200,400
Donges,PARSCAU DU PLESSIS,3.8,2025-05-17,200,400
Saint-Nazaire,PARC PAYSAGER,5.6,2025-05-17,200,400
Le Mans,SOURCES,3.8,2025-05-17,200,400
Nantes,CIM BOUTEILLERIE,4.6,2025-05-17,200,400
Bouguenais,LES COUETS,4.8,2025-05-17,200,400
Angers,ROI RENE,15.0,2025-05-17,200,400
Montoir-De-Bretagne,CAMEE,4.2,2025-05-17,200,400
Nantes,FRERES GONCOURT,14.0,2025-05-17,200,400
Laval,RUE DE LA PAIX,7.1,2025-05-17,200,400
Nantes,PRAIRIE AU DUC,6.0,2025-05-17,200,400
Donges,LA MEGRETAIS,4.0,2025-05-16,200,400
Frossay,FROSSAY,3.3,2025-05-16,200,400
Saint-Etienne-De-Montluc,SAINT ETIENNE DE MONTLUC,3.1,2025-05-16,200,400
Trignac,JULES VERNE,6.2,2025-05-16,200,400
Cholet,SAINT EXUPERY,5.2,2025-05-16,200,400
Saint-Nazaire,LEON BLUM,6.0,2025-05-16,200,400
Angers,BEAUX ARTS,5.9,2025-05-16,200,400
Laval,MAZAGRAN,5.5,2025-05-16,200,400
La Tardière,LA TARDIERE,2.2,2025-05-16,200,400
Angers,APPENTIS,5.1,2025-05-16,200,400
La Roche-Sur-Yon,DELACROIX,4.7,2025-05-16,200,400
Le Mans,GUEDOU,6.0,2025-05-16,200,400
Saint-Denis-D'Anjou,SAINT DENIS D'ANJOU,3.2,2025-05-16,200,400
Donges,PARSCAU DU PLESSIS,3.3,2025-05-16,200,400
Saint-Nazaire,PARC PAYSAGER,4.7,2025-05-16,200,400
Le Mans,SOURCES,5.0,2025-05-16,200,400
Nantes,CIM BOUTEILLERIE,5.5,2025-05-16,200,400
Bouguenais,LES COUETS,6.9,2025-05-16,200,400
Angers,ROI RENE,16.0,2025-05-16,200,400
Montoir-De-Bretagne,CAMEE,4.3,2025-05-16,200,400
Nantes,FRERES GONCOURT,10.0,2025-05-16,200,400
Laval,RUE DE LA PAIX,13.0,2025-05-16,200,400
Nantes,PRAIRIE AU DUC,6.5,2025-05-16,200,400
Donges,LA MEGRETAIS,4.8,2025-05-15,200,400
Frossay,FROSSAY,3.9,2025-05-15,200,400
Saint-Etienne-De-Montluc,SAINT ETIENNE DE MONTLUC,3.7,2025-05-15,200,400
Trignac,JULES VERNE,7.7,2025-05-15,200,400
Cholet,SAINT EXUPERY,6.1,2025-05-15,200,400
Saint-Nazaire,LEON BLUM,6.8,2025-05-15,200,400
Angers,BEAUX ARTS,5.5,2025-05-15,200,400
Laval,MAZAGRAN,5.4,2025-05-15,200,400
La Tardière,LA TARDIERE,2.7,2025-05-15,200,400
Angers,APPENTIS,5.3,2025-05-15,200,400
La Roche-Sur-Yon,DELACROIX,5.5,2025-05-15,200,400
Le Mans,GUEDOU,5.8,2025-05-15,200,400
