commune,station,no2_value,date_local,seuil_info_recommandation,seuil_alerte
Nantes,FRERES GONCOURT,15.0,2025-04-24,200,400
Laval,RUE DE LA PAIX,15.0,2025-04-24,200,400
Nantes,PRAIRIE AU DUC,12.0,2025-04-24,200,400
Donges,LA MEGRETAIS,2.6,2025-04-23,200,400
Frossay,FROSSAY,1.9,2025-04-23,200,400
Saint-Etienne-De-Montluc,SAINT ETIENNE DE MONTLUC,1.8,2025-04-23,200,400
Trignac,JULES VERNE,2.0,2025-04-23,200,400
Cholet,SAINT EXUPERY,3.1,2025-04-23,200,400
Saint-Nazaire,LEON BLUM,3.2,2025-04-23,200,400
Angers,BEAUX ARTS,5.3,2025-04-23,200,400
Laval,MAZAGRAN,5.8,2025-04-23,200,400
La Tardière,LA TARDIERE,0.69,2025-04-23,200,400
Angers,APPENTIS,3.5,2025-04-23,200,400
La Roche-Sur-Yon,DELACROIX,3.0,2025-04-23,200,400
Le Mans,GUEDOU,4.5,2025-04-23,200,400
Saint-Denis-D'Anjou,SAINT DENIS D'ANJOU,2.3,2025-04-23,200,400
Donges,PARSCAU DU PLESSIS,2.6,2025-04-23,200,400
Saint-Nazaire,PARC PAYSAGER,2.2,2025-04-23,200,400
Le Mans,SOURCES,4.5,2025-04-23,200,400
Nantes,CIM BOUTEILLERIE,3.9,2025-04-23,200,400
Bouguenais,LES COUETS,5.2,2025-04-23,200,400
Angers,ROI RENE,18.0,2025-04-23,200,400
Montoir-De-Bretagne,CAMEE,3.0,2025-04-23,200,400
Nantes,FRERES GONCOURT,15.0,2025-04-23,200,400
Laval,RUE DE LA PAIX,9.4,2025-04-23,200,400
Nantes,PRAIRIE AU DUC,5.6,2025-04-23,200,400
Donges,LA MEGRETAIS,5.8,2025-04-22,200,400
Frossay,FROSSAY,2.6,2025-04-22,200,400
Saint-Etienne-De-Montluc,SAINT ETIENNE DE MONTLUC,2.5,2025-04-22,200,400
Trignac,JULES VERNE,5.2,2025-04-22,200,400
Cholet,SAINT EXUPERY,5.9,2025-04-22,200,400
Saint-Nazaire,LEON BLUM,5.1,2025-04-22,200,400
Angers,BEAUX ARTS,7.6,2025-04-22,200,400
Laval,MAZAGRAN,6.2,2025-04-22,200,400
La Tardière,LA TARDIERE,0.62,2025-04-22,200,400
Angers,APPENTIS,5.3,2025-04-22,200,400
La Roche-Sur-Yon,DELACROIX,4.0,2025-04-22,200,400
Le Mans,GUEDOU,9.2,2025-04-22,200,400
Saint-Denis-D'Anjou,SAINT DENIS D'ANJOU,3.1,2025-04-22,200,400
Donges,PARSCAU DU PLESSIS,5.8,2025-04-22,200,400
Saint-Nazaire,PARC PAYSAGER,4.0,2025-04-22,200,400
Le Mans,SOURCES,7.3,2025-04-22,200,400
Nantes,CIM BOUTEILLERIE,4.9,2025-04-22,200,400
Bouguenais,LES COUETS,9.8,2025-04-22,200,400
Angers,ROI RENE,23.0,2025-04-22,200,400
Montoir-De-Bretagne,CAMEE,5.3,2025-04-22,200,400
Nantes,FRERES GONCOURT,19.0,2025-04-22,200,400
Laval,RUE DE LA PAIX,14.0,2025-04-22,200,400
Nantes,PRAIRIE AU DUC,7.2,2025-04-22,200,400
Donges,LA MEGRETAIS,3.5,2025-04-21,200,400
Frossay,FROSSAY,2.4,2025-04-21,200,400
Saint-Etienne-De-Montluc,SAINT ETIENNE DE MONTLUC,2.1,2025-04-21,200,400
Trignac,JULES VERNE,3.0,2025-04-21,200,400
Cholet,SAINT EXUPERY,3.5,2025-04-21,200,400
Saint-Nazaire,LEON BLUM,3.2,2025-04-21,200,400
Angers,BEAUX ARTS,5.7,2025-04-21,200,400
Laval,MAZAGRAN,5.2,2025-04-21,200,400
La Tardière,LA TARDIERE,0.62,2025-04-21,200,400
Angers,APPENTIS,3.1,2025-04-21,200,400
La Roche-Sur-Yon,DELACROIX,2.6,2025-04-21,200,400
Le Mans,GUEDOU,5.7,2025-04-21,200,400
Saint-Denis-D'Anjou,SAINT DENIS D'ANJOU,3.5,2025-04-21,200,400
Donges,PARSCAU DU PLESSIS,3.3,2025-04-21,200,400
Saint-Nazaire,PARC PAYSAGER,2.7,2025-04-21,200,400
Le Mans,SOURCES,4.9,2025-04-21,200,400
Nantes,CIM BOUTEILLERIE,4.9,2025-04-21,200,400
Bouguenais,LES COUETS,5.4,2025-04-21,200,400
Angers,ROI RENE,14.0,2025-04-21,200,400
Montoir-De-Bretagne,CAMEE,3.2,2025-04-21,200,400
Nantes,FRERES GONCOURT,19.0,2025-04-21,200,400
Laval,RUE DE LA PAIX,6.9,2025-04-21,200,400
Nantes,PRAIRIE AU DUC,7.3,2025-04-21,200,400
Donges,LA MEGRETAIS,3.8,2025-04-20,200,400
Frossay,FROSSAY,2.8,2025-04-20,200,400
Saint-Etienne-De-Montluc,SAINT ETIENNE DE MONTLUC,2.9,2025-04-20,200,400
Trignac,JULES VERNE,6.5,2025-04-20,200,400
Cholet,SAINT EXUPERY,4.2,2025-04-20,200,400
Saint-Nazaire,LEON BLUM,7.0,2025-04-20,200,400
Angers,BEAUX ARTS,4.1,2025-04-20,200,400
Laval,MAZAGRAN,4.4,2025-04-20,200,400
La Tardière,LA TARDIERE,0.3,2025-04-20,200,400
Angers,APPENTIS,3.7,2025-04-20,200,400
La Roche-Sur-Yon,DELACROIX,3.6,2025-04-20,200,400
Le Mans,GUEDOU,4.5,2025-04-20,200,400
Saint-Denis-D'Anjou,SAINT DENIS D'ANJOU,2.6,2025-04-20,200,400
Donges,PARSCAU DU PLESSIS,3.3,2025-04-20,200,400
Saint-Nazaire,PARC PAYSAGER,4.7,2025-04-20,200,400
Le Mans,SOURCES,2.9,2025-04-20,200,400
Nantes,CIM BOUTEILLERIE,4.7,2025-04-20,200,400
Bouguenais,LES COUETS,7.5,2025-04-20,200,400
Angers,ROI RENE,12.0,2025-04-20,200,400
Montoir-De-Bretagne,CAMEE,3.4,2025-04-20,200,400
Nantes,FRERES GONCOURT,9.2,2025-04-20,200,400
Laval,RUE DE LA PAIX,5.0,2025-04-20,200,400
Nantes,PRAIRIE AU DUC,6.6,2025-04-20,200,400
Donges,LA MEGRETAIS,4.1,2025-04-19,200,400
Frossay,FROSSAY,3.1,2025-04-19,200,400
Saint-Etienne-De-Montluc,SAINT ETIENNE DE MONTLUC,3.5,2025-04-19,200,400
Trignac,JULES VERNE,7.4,2025-04-19,200,400
Cholet,SAINT EXUPERY,6.5,2025-04-19,200,400
Saint-Nazaire,LEON BLUM,5.5,2025-04-19,200,400
Angers,BEAUX ARTS,7.5,2025-04-19,200,400
Laval,MAZAGRAN,7.3,2025-04-19,200,400
La Tardière,LA TARDIERE,1.1,2025-04-19,200,400
Angers,APPENTIS,6.7,2025-04-19,200,400
La Roche-Sur-Yon,DELACROIX,4.3,2025-04-19,200,400
