commune,etat,activite_principale,soussection,section,date_creation,date_fermeture
LA CHAPELLE-SAINT-AUBIN,Actif,47.59A,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2022-07-20,
LE MANS,Fermé,47.82Z,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2004-06-21,
LA ROCHE-SUR-YON,Fermé,68.31Z,Activités immobilières,Activités immobilières,2021-01-01,2024-06-30
GENESTON,Actif,68.20B,Activités immobilières,Activités immobilières,2024-04-10,
REZE,Actif,78.20Z,Activités liées à l'emploi,Activités de services administratifs et de soutien,2022-08-01,
SAINT-JEAN-DE-MONTS,Actif,35.11Z,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné","Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",2021-11-26,
MONTREUIL-BELLAY,Actif,35.11Z,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné","Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",2022-03-16,
ORVAULT,Actif,68.20B,Activités immobilières,Activités immobilières,2014-08-04,
SAINT-BERTHEVIN,Fermé,47.79Z,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2016-10-03,2018-12-17
SAINT-BERTHEVIN,Actif,46.90Z,"Commerce de gros, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2024-12-10,
SAINT-JULIEN-DE-CONCELLES,Fermé,43.22A,Travaux de construction spécialisés,Construction,2002-04-01,
SAINT-JULIEN-DE-CONCELLES,Actif,43.22A,Travaux de construction spécialisés,Construction,2012-03-31,
LA ROCHE-SUR-YON,Fermé,56.10A,Restauration,Hébergement et restauration,2004-06-14,2009-12-31
SAINT-JEAN-DE-MONTS,Actif,56.10A,Restauration,Hébergement et restauration,2022-03-21,
GETIGNE,Actif,33.20A,Réparation et installation de machines et d'équipements,Industrie manufacturière,2021-02-01,
AVRILLE,Actif,93.29Z,"Activités sportives, récréatives et de loisirs","Arts, spectacles et activités récréatives",2022-11-12,
NANTES,Fermé,85.1C,Santé et action sociale,Santé et action sociale,1992-02-12,
LA SEGUINIERE,Actif,35.11Z,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné","Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",2013-09-26,
SAINT-HILAIRE-DES-LOGES,Fermé,49.41B,Transports terrestres et transport par conduites,Transports et entreposage,2007-09-30,2015-10-01
RIAILLE,Fermé,46.32C,"Commerce de gros, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2003-07-01,2011-01-31
NANTES,Fermé,90.03A,"Activités créatives, artistiques et de spectacle","Arts, spectacles et activités récréatives",2009-01-01,2015-12-31
NANTES,Fermé,47.29Z,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2006-07-31,2010-06-15
NANTES,Fermé,74.1J,"Immobilier, location et services aux entreprises","Immobilier, location et services aux entreprises",2003-01-01,2003-12-31
ANGERS,Fermé,46.51Z,"Commerce de gros, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2003-09-01,2017-06-09
LE MANS,Fermé,47.78A,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2003-10-01,2011-09-20
SAUMUR,Fermé,68.31Z,Activités immobilières,Activités immobilières,2003-10-15,2023-03-01
SAINT-LYPHARD,Fermé,70.2C,"Immobilier, location et services aux entreprises","Immobilier, location et services aux entreprises",2001-11-01,2005-12-31
ERDRE-EN-ANJOU,Fermé,47.79Z,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2011-03-01,2012-09-04
SAINT-GILLES-CROIX-DE-VIE,Fermé,70.10Z,Activités des sièges sociaux ; conseil de gestion,"Activités spécialisées, scientifiques et techniques",2005-09-27,2009-09-30
ORVAULT,Fermé,51.8H,Commerce ; réparations automobile et d'articles domestiques,Commerce ; réparations automobile et d'articles domestiques,2003-11-03,2005-12-01
CARQUEFOU,Fermé,49.42Z,Transports terrestres et transport par conduites,Transports et entreposage,2011-07-01,2019-11-01
SAINT-CALAIS,Fermé,68.20B,Activités immobilières,Activités immobilières,2003-12-01,2024-04-10
MAREIL-SUR-LOIR,Fermé,68.20B,Activités immobilières,Activités immobilières,2003-12-30,2023-12-26
LE MANS,Fermé,70.2A,"Immobilier, location et services aux entreprises","Immobilier, location et services aux entreprises",2002-01-01,2005-08-11
MAUGES-SUR-LOIRE,Fermé,01.42Z,"Culture et production animale, chasse et services annexes","Agriculture, sylviculture et pêche",2004-01-01,2008-12-31
CHANGE,Fermé,68.20A,Activités immobilières,Activités immobilières,2004-03-01,2013-09-07
LA CHAIZE-LE-VICOMTE,Fermé,96.02B,Autres services personnels,Autres activités de services,2015-02-09,2018-03-31
SAINT-HILAIRE-DE-CHALEONS,Fermé,86.90E,Activités pour la santé humaine,Santé humaine et action sociale,2016-01-01,2018-09-17
ORVAULT,Fermé,90.01Z,"Activités créatives, artistiques et de spectacle","Arts, spectacles et activités récréatives",2004-03-05,2019-09-30
LA HAIE-FOUASSIERE,Fermé,70.2C,"Immobilier, location et services aux entreprises","Immobilier, location et services aux entreprises",2005-08-12,2006-12-17
ANGERS,Fermé,64.20Z,"Activités des services financiers, hors assurance et caisses de retraite",Activités financières et d'assurance,2004-04-08,2020-10-16
MONTAIGU-VENDEE,Fermé,18.12Z,Imprimerie et reproduction d'enregistrements,Industrie manufacturière,2009-01-01,2019-07-10
CHANGE,Fermé,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2004-05-10,2018-03-02
HUILLE-LEZIGNE,Fermé,81.21Z,Services relatifs aux bâtiments et aménagement paysager,Activités de services administratifs et de soutien,2022-01-02,2023-03-31
SEGRIE,Fermé,43.39Z,Travaux de construction spécialisés,Construction,2004-06-01,2021-12-30
LA ROCHE-SUR-YON,Fermé,68.10Z,Activités immobilières,Activités immobilières,2010-01-01,2020-12-21
REZE,Fermé,55.3A,Hôtels et restaurants,Hôtels et restaurants,2004-06-07,2007-10-06
NANTES,Fermé,56.10A,Restauration,Hébergement et restauration,2004-05-13,2019-06-30
GUERANDE,Fermé,08.93Z,Autres industries extractives,Industries extractives,2004-07-01,2009-07-01
CARQUEFOU,Fermé,41.20B,Construction de bâtiments,Construction,2008-01-02,2012-11-29
REQUEIL,Fermé,96.02A,Autres services personnels,Autres activités de services,2012-04-01,2022-09-07
CHAUVE,Fermé,43.21A,Travaux de construction spécialisés,Construction,2004-08-06,2013-09-30
LES SABLES D'OLONNE,Fermé,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2015-03-01,2018-02-28
ANGERS,Fermé,10.83Z,Industries alimentaires,Industrie manufacturière,2004-09-14,2013-06-17
ARGENTRE,Actif,53.20Z,Activités de poste et de courrier,Transports et entreposage,2025-03-29,
SAUMUR,Actif,85.51Z,Enseignement,Enseignement,2021-01-18,
LAVAL,Actif,85.59A,Enseignement,Enseignement,2021-06-28,
SAUMUR,Actif,68.20A,Activités immobilières,Activités immobilières,2022-01-01,
NANTES,Fermé,69.10Z,Activités juridiques et comptables,"Activités spécialisées, scientifiques et techniques",2020-01-02,2021-02-01
DOUE-EN-ANJOU,Actif,01.11Z,"Culture et production animale, chasse et services annexes","Agriculture, sylviculture et pêche",1993-03-13,
BELLEVIGNY,Actif,74.30Z,"Autres activités spécialisées, scientifiques et techniques","Activités spécialisées, scientifiques et techniques",2022-02-21,
LA HAIE-FOUASSIERE,Fermé,74.2C,"Immobilier, location et services aux entreprises","Immobilier, location et services aux entreprises",1900-01-01,
CRAON,Actif,81.21Z,Services relatifs aux bâtiments et aménagement paysager,Activités de services administratifs et de soutien,2020-09-24,
NANTES,Actif,43.99C,Travaux de construction spécialisés,Construction,2014-09-16,
ALLONNES,Actif,45.20A,Commerce et réparation d'automobiles et de motocycles,Commerce ; réparation d'automobiles et de motocycles,2012-04-26,
LES SABLES-D'OLONNE,Actif,68.31Z,Activités immobilières,Activités immobilières,2025-01-17,
LE LUDE,Fermé,93.0D,"Services collectifs, sociaux et personnels","Services collectifs, sociaux et personnels",1991-04-01,1993-06-28
CHATEAUBRIANT,Fermé,56.10A,Restauration,Hébergement et restauration,1997-05-07,2014-05-01
PORNIC,Actif,68.20B,Activités immobilières,Activités immobilières,2020-12-28,
NOZAY,Actif,86.90D,Activités pour la santé humaine,Santé humaine et action sociale,2015-06-05,
SAFFRE,Fermé,85.1G,Santé et action sociale,Santé et action sociale,1982-03-01,2002-05-03
REZE,Fermé,66.19A,Activités auxiliaires de services financiers et d'assurance,Activités financières et d'assurance,2003-03-04,2009-07-03
LE BOUPERE,Fermé,59.20Z,"Production de films cinématographiques, de vidéo et de programmes de télévision ; enregistrement sonore et édition musicale",Information et communication,2004-08-01,2010-01-15
LE BOUPERE,Actif,45.20A,Commerce et réparation d'automobiles et de motocycles,Commerce ; réparation d'automobiles et de motocycles,2022-08-25,
NANTES,Actif,68.20B,Activités immobilières,Activités immobilières,2009-06-13,
NANTES,Fermé,86.90F,Activités pour la santé humaine,Santé humaine et action sociale,2015-05-01,2016-12-19
THOUARE-SUR-LOIRE,Actif,93.29Z,"Activités sportives, récréatives et de loisirs","Arts, spectacles et activités récréatives",2023-11-25,
CERANS-FOULLETOURTE,Actif,01.42Z,"Culture et production animale, chasse et services annexes","Agriculture, sylviculture et pêche",2003-07-31,
VIX,Actif,68.20B,Activités immobilières,Activités immobilières,2019-11-06,
LA BRUFFIERE,Actif,56.10A,Restauration,Hébergement et restauration,2021-11-16,
LAVAL,Actif,94.99Z,Activités des organisations associatives,Autres activités de services,2000-06-01,
AUVERS-LE-HAMON,Actif,43.99C,Travaux de construction spécialisés,Construction,2021-08-10,
CUGAND,Actif,01.41Z,"Culture et production animale, chasse et services annexes","Agriculture, sylviculture et pêche",2021-06-11,
SAINTE-HERMINE,Actif,56.10A,Restauration,Hébergement et restauration,2011-11-12,
SAINT-NAZAIRE,Fermé,64.20Z,"Activités des services financiers, hors assurance et caisses de retraite",Activités financières et d'assurance,2014-12-03,2017-11-27
LA SUZE-SUR-SARTHE,Actif,52.10B,Entreposage et services auxiliaires des transports,Transports et entreposage,2024-09-05,
LA SUZE-SUR-SARTHE,Actif,52.10B,Entreposage et services auxiliaires des transports,Transports et entreposage,2024-09-05,
BRETIGNOLLES-SUR-MER,Actif,68.20A,Activités immobilières,Activités immobilières,1990-01-01,
LE MANS,Fermé,86.90F,Activités pour la santé humaine,Santé humaine et action sociale,2019-03-01,2020-04-01
ANGERS,Actif,90.01Z,"Activités créatives, artistiques et de spectacle","Arts, spectacles et activités récréatives",1995-04-04,
LES SABLES D'OLONNE,Fermé,33.15Z,Réparation et installation de machines et d'équipements,Industrie manufacturière,2001-07-20,
MONTAILLE,Actif,68.20B,Activités immobilières,Activités immobilières,2021-10-12,
CORCOUE-SUR-LOGNE,Actif,01.42Z,"Culture et production animale, chasse et services annexes","Agriculture, sylviculture et pêche",2019-04-01,
COUDRECIEUX,Actif,85.52Z,Enseignement,Enseignement,2022-09-01,
VERTOU,Actif,96.02B,Autres services personnels,Autres activités de services,2023-11-13,
NOTRE-DAME-DES-LANDES,Actif,49.32Z,Transports terrestres et transport par conduites,Transports et entreposage,2023-12-14,
LA BRUFFIERE,Fermé,91.3E,"Services collectifs, sociaux et personnels","Services collectifs, sociaux et personnels",1988-10-10,1992-03-05
MOUTIERS-LES-MAUXFAITS,Actif,93.12Z,"Activités sportives, récréatives et de loisirs","Arts, spectacles et activités récréatives",2024-06-29,
LA FLECHE,Fermé,86.90D,Activités pour la santé humaine,Santé humaine et action sociale,2011-10-01,2013-12-01
MACHE,Actif,43.34Z,Travaux de construction spécialisés,Construction,2022-03-01,
ANGERS,Actif,94.99Z,Activités des organisations associatives,Autres activités de services,1999-07-01,
NANTES,Actif,68.20A,Activités immobilières,Activités immobilières,2019-02-05,
LA ROCHE-SUR-YON,Actif,53.20Z,Activités de poste et de courrier,Transports et entreposage,2021-09-20,
ANGERS,Actif,86.90E,Activités pour la santé humaine,Santé humaine et action sociale,2013-11-12,
LE MANS,Fermé,70.2C,"Immobilier, location et services aux entreprises","Immobilier, location et services aux entreprises",1991-01-01,1997-10-08
BOUCHEMAINE,Actif,68.20A,Activités immobilières,Activités immobilières,1990-12-05,
SEGRE-EN-ANJOU BLEU,Fermé,92.6C,"Services collectifs, sociaux et personnels","Services collectifs, sociaux et personnels",1900-01-01,1998-12-25
SAINT-COLOMBAN,Actif,47.99A,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2016-01-10,
NANTES,Actif,96.02A,Autres services personnels,Autres activités de services,2019-05-09,
QUELAINES-SAINT-GAULT,Fermé,43.91A,Travaux de construction spécialisés,Construction,2021-08-31,2023-06-01
BAZOUGERS,Actif,01.43Z,"Culture et production animale, chasse et services annexes","Agriculture, sylviculture et pêche",2008-05-15,
LES SABLES D'OLONNE,Fermé,69.23,"Transports routiers, transports urbains, transports par conduite",Taxis,,1986-03-14
SAINT-SEBASTIEN-SUR-LOIRE,Actif,46.73B,"Commerce de gros, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2013-11-01,
DIVATTE-SUR-LOIRE,Fermé,55.60,Industrie de mise en oeuvre du bâtiment et du génie civil et agricole,Maçonnerie et travaux courants de béton armé,,
REZE,Actif,74.30Z,"Autres activités spécialisées, scientifiques et techniques","Activités spécialisées, scientifiques et techniques",2023-11-05,
CHANGE,Actif,86.21Z,Activités pour la santé humaine,Santé humaine et action sociale,1982-07-01,
LA BAULE-ESCOUBLAC,Actif,68.20A,Activités immobilières,Activités immobilières,2018-06-01,
CHOLET,Fermé,43.12A,Travaux de construction spécialisés,Construction,2006-09-01,2008-12-03
YZERNAY,Actif,68.20B,Activités immobilières,Activités immobilières,1982-12-31,
COEX,Actif,68.20B,Activités immobilières,Activités immobilières,2019-07-16,
SAINT-NAZAIRE,Actif,47.78C,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2018-06-13,
SAINT-GEORGES-DU-BOIS,Fermé,93.12Z,"Activités sportives, récréatives et de loisirs","Arts, spectacles et activités récréatives",2009-05-19,2014-09-01
LES BROUZILS,Actif,45.20A,Commerce et réparation d'automobiles et de motocycles,Commerce ; réparation d'automobiles et de motocycles,2016-09-01,
ANGERS,Fermé,45.2A,Construction,Construction,1984-10-01,2007-07-01
PIRIAC-SUR-MER,Actif,43.32A,Travaux de construction spécialisés,Construction,2012-10-02,
LE LUDE,Fermé,52.5Z,Commerce ; réparations automobile et d'articles domestiques,Commerce ; réparations automobile et d'articles domestiques,1900-01-01,1994-12-31
NANTES,Actif,62.02A,"Programmation, conseil et autres activités informatiques",Information et communication,2020-01-02,
NANTES,Fermé,69.10Z,Activités juridiques et comptables,"Activités spécialisées, scientifiques et techniques",2016-05-23,2022-10-03
COUERON,Actif,68.20B,Activités immobilières,Activités immobilières,2022-07-19,
SAINT-NAZAIRE,Actif,68.20A,Activités immobilières,Activités immobilières,2022-06-21,
NANTES,Fermé,71.12B,Activités d'architecture et d'ingénierie ; activités de contrôle et analyses techniques,"Activités spécialisées, scientifiques et techniques",2024-08-27,
SAINTE-GEMMES-SUR-LOIRE,Fermé,85.1C,Santé et action sociale,Santé et action sociale,1987-09-01,2000-10-01
SAINT-JEAN-DE-MONTS,Fermé,01.1A,"Agriculture, chasse, sylviculture","Agriculture, chasse, sylviculture",1996-10-01,2007-08-01
NANTES,Actif,56.10A,Restauration,Hébergement et restauration,1991-10-02,
LEGE,Fermé,96.09Z,Autres services personnels,Autres activités de services,2017-11-01,2020-08-20
RENAZE,Actif,47.99A,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2013-01-01,
SAINT-NAZAIRE,Actif,68.20A,Activités immobilières,Activités immobilières,2015-11-12,
MAUGES-SUR-LOIRE,Actif,45.20A,Commerce et réparation d'automobiles et de motocycles,Commerce ; réparation d'automobiles et de motocycles,2019-11-05,
LES HERBIERS,Actif,94.99Z,Activités des organisations associatives,Autres activités de services,2012-09-03,
SAINT-PERE-EN-RETZ,Fermé,47.81Z,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2002-12-05,2013-08-21
CHOLET,Actif,68.20B,Activités immobilières,Activités immobilières,2009-10-08,
CONGRIER,Actif,85.20Z,Enseignement,Enseignement,1900-01-01,
ANGERS,Fermé,86.21Z,Activités pour la santé humaine,Santé humaine et action sociale,2012-02-15,2014-05-12
LA ROCHE-SUR-YON,Actif,68.20A,Activités immobilières,Activités immobilières,1999-08-23,
VENDRENNES,Fermé,43.34Z,Travaux de construction spécialisés,Construction,2003-05-01,2023-06-02
LA CHAPELLE-ANTHENAISE,Fermé,01.41Z,"Culture et production animale, chasse et services annexes","Agriculture, sylviculture et pêche",2006-01-01,2011-11-29
ANGERS,Actif,68.20A,Activités immobilières,Activités immobilières,2022-05-23,
SOULIGNE-SOUS-BALLON,Actif,68.20B,Activités immobilières,Activités immobilières,2018-09-10,
SAUMUR,Fermé,69.10Z,Activités juridiques et comptables,"Activités spécialisées, scientifiques et techniques",2005-01-03,2017-01-01
SAINT-PHILBERT-DE-GRAND-LIEU,Actif,68.20A,Activités immobilières,Activités immobilières,1998-07-27,
VALLET,Fermé,66.30Z,Activités auxiliaires de services financiers et d'assurance,Activités financières et d'assurance,2023-01-25,
LAVAL,Fermé,64.2C,Transports et communications,Transports et communications,2003-10-08,2007-03-28
ANGERS,Fermé,86.21Z,Activités pour la santé humaine,Santé humaine et action sociale,2019-01-01,2020-02-25
SAINT-SEBASTIEN-SUR-LOIRE,Fermé,85.1G,Santé et action sociale,Santé et action sociale,1995-11-01,2001-02-12
NANTES,Fermé,85.1G,Santé et action sociale,Santé et action sociale,1994-04-18,1995-11-01
SAINTE-PAZANNE,Fermé,45.4J,Construction,Construction,1994-07-04,2007-09-28
NANTES,Fermé,50.2Z,Commerce ; réparations automobile et d'articles domestiques,Commerce ; réparations automobile et d'articles domestiques,,1997-08-29
SABLE-SUR-SARTHE,Fermé,75.00Z,Activités vétérinaires,"Activités spécialisées, scientifiques et techniques",2014-04-22,2018-11-13
LE POULIGUEN,Fermé,55.3A,Hôtels et restaurants,Hôtels et restaurants,,1995-09-30
BLAIN,Fermé,01.19Z,"Culture et production animale, chasse et services annexes","Agriculture, sylviculture et pêche",2004-03-01,2023-06-30
LE LOROUX-BOTTEREAU,Fermé,52.2P,Commerce ; réparations automobile et d'articles domestiques,Commerce ; réparations automobile et d'articles domestiques,1994-09-06,1998-09-02
SAINT-GERMAIN-DE-PRINCAY,Fermé,70.2C,"Immobilier, location et services aux entreprises","Immobilier, location et services aux entreprises",1994-09-12,2001-03-08
LAVAL,Fermé,01.3Z,"Agriculture, chasse, sylviculture","Agriculture, chasse, sylviculture",,1995-01-31
NANTES,Fermé,52.4C,Commerce ; réparations automobile et d'articles domestiques,Commerce ; réparations automobile et d'articles domestiques,1994-09-05,2002-01-31
SAINTE-HERMINE,Fermé,01.3Z,"Agriculture, chasse, sylviculture","Agriculture, chasse, sylviculture",1974-09-24,1999-12-31
VIGNEUX DE BRETAGNE,Fermé,52.7D,Commerce ; réparations automobile et d'articles domestiques,Commerce ; réparations automobile et d'articles domestiques,1995-01-03,2000-03-30
LA GRIGONNAIS,Fermé,43.99C,Travaux de construction spécialisés,Construction,2016-07-20,2017-03-20
SEVREMOINE,Fermé,56.21Z,Restauration,Hébergement et restauration,2010-04-01,2022-09-20
MORTAGNE-SUR-SEVRE,Fermé,68.20B,Activités immobilières,Activités immobilières,2009-10-31,2018-12-28
SAUTRON,Fermé,90.03B,"Activités créatives, artistiques et de spectacle","Arts, spectacles et activités récréatives",1993-09-01,2016-12-25
OMBREE D'ANJOU,Fermé,01.3Z,"Agriculture, chasse, sylviculture","Agriculture, chasse, sylviculture",,1995-03-31
LA BAULE-ESCOUBLAC,Fermé,82.99Z,Activités administratives et autres activités de soutien aux entreprises,Activités de services administratifs et de soutien,2022-02-18,2022-09-14
PONTCHATEAU,Fermé,56.30Z,Restauration,Hébergement et restauration,2007-10-01,2016-07-31
ANGERS,Fermé,74.4B,"Immobilier, location et services aux entreprises","Immobilier, location et services aux entreprises",2000-07-18,2003-07-01
VERTOU,Fermé,55.4B,Hôtels et restaurants,Hôtels et restaurants,1993-02-06,2005-12-31
LA CHEVROLIERE,Fermé,28.5D,Métallurgie et travail des métaux,Industrie manufacturière,1999-12-24,2007-03-31
REZE,Fermé,28.5D,Métallurgie et travail des métaux,Industrie manufacturière,1995-03-03,1996-01-15
CHANGE,Fermé,49.32Z,Transports terrestres et transport par conduites,Transports et entreposage,1997-08-01,2009-03-31
NOIRMOUTIER-EN-L'ILE,Fermé,55.4B,Hôtels et restaurants,Hôtels et restaurants,,1995-09-24
SAINT-CALAIS,Fermé,47.22Z,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,1995-03-01,2024-09-30
NANTES,Fermé,74.2C,"Immobilier, location et services aux entreprises","Immobilier, location et services aux entreprises",1995-06-01,1997-10-08
SAINT-JEAN-DE-MONTS,Fermé,52.2C,Commerce ; réparations automobile et d'articles domestiques,Commerce ; réparations automobile et d'articles domestiques,1997-07-01,1997-12-31
MAISONCELLES-DU-MAINE,Fermé,92.6C,"Services collectifs, sociaux et personnels","Services collectifs, sociaux et personnels",1995-05-15,1998-06-30
CHEMILLE-EN-ANJOU,Fermé,51.5H,Commerce ; réparations automobile et d'articles domestiques,Commerce ; réparations automobile et d'articles domestiques,1995-06-20,2006-07-13
LA CHAPELLE-SUR-ERDRE,Fermé,70.3A,"Immobilier, location et services aux entreprises","Immobilier, location et services aux entreprises",1995-06-06,2003-11-22
BONNETABLE,Fermé,50.3B,Commerce ; réparations automobile et d'articles domestiques,Commerce ; réparations automobile et d'articles domestiques,1995-07-10,1997-02-05
SAINT-GILLES-CROIX-DE-VIE,Fermé,47.23Z,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2006-12-15,2009-12-31
LA BARRE-DE-MONTS,Fermé,52.2E,Commerce ; réparations automobile et d'articles domestiques,Commerce ; réparations automobile et d'articles domestiques,1997-11-01,2006-12-15
VARENNES-SUR-LOIRE,Fermé,01.1A,"Agriculture, chasse, sylviculture","Agriculture, chasse, sylviculture",,1995-09-30
PONTCHATEAU,Fermé,55.3A,Hôtels et restaurants,Hôtels et restaurants,1995-08-01,2003-09-30
SOULITRE,Fermé,74.1J,"Immobilier, location et services aux entreprises","Immobilier, location et services aux entreprises",,1997-03-28
COUERON,Fermé,43.21A,Travaux de construction spécialisés,Construction,2010-06-21,2011-12-31
NANTES,Fermé,70.2A,"Immobilier, location et services aux entreprises","Immobilier, location et services aux entreprises",,1997-12-31
LES SABLES D'OLONNE,Fermé,42.99Z,Génie civil,Construction,2015-01-01,2020-03-12
CHANTONNAY,Fermé,72.2Z,"Immobilier, location et services aux entreprises","Immobilier, location et services aux entreprises",1995-09-01,1998-01-01
CHALLANS,Fermé,47.89Z,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2008-10-29,2009-03-28
CARQUEFOU,Fermé,70.22Z,Activités des sièges sociaux ; conseil de gestion,"Activités spécialisées, scientifiques et techniques",2003-07-01,2009-01-11
SAUTRON,Fermé,52.7A,Commerce ; réparations automobile et d'articles domestiques,Commerce ; réparations automobile et d'articles domestiques,1997-01-02,2004-11-02
LE GUE-DE-VELLUIRE,Fermé,01.2A,"Agriculture, chasse, sylviculture","Agriculture, chasse, sylviculture",1997-01-01,1999-12-31
SAINT-GERMAIN-LE-FOUILLOUX,Fermé,01.42Z,"Culture et production animale, chasse et services annexes","Agriculture, sylviculture et pêche",1978-01-01,2018-02-01
CHANTELOUP LES BOIS,Fermé,01.42Z,"Culture et production animale, chasse et services annexes","Agriculture, sylviculture et pêche",1997-01-01,2013-01-31
NANTES,Fermé,93.0N,"Services collectifs, sociaux et personnels","Services collectifs, sociaux et personnels",,1997-01-01
PORNICHET,Fermé,55.3B,Hôtels et restaurants,Hôtels et restaurants,1997-12-31,1999-10-31
LE MANS,Fermé,52.4R,Commerce ; réparations automobile et d'articles domestiques,Commerce ; réparations automobile et d'articles domestiques,1997-07-10,2001-02-09
LOUVERNE,Fermé,68.20B,Activités immobilières,Activités immobilières,2011-06-28,2021-09-10
SAUMUR,Fermé,38.32Z,"Collecte, traitement et élimination des déchets ; récupération","Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",1997-04-21,2022-06-30
NANTES,Fermé,68.20B,Activités immobilières,Activités immobilières,1997-04-14,2017-01-02
SAINT-BREVIN-LES-PINS,Fermé,52.4C,Commerce ; réparations automobile et d'articles domestiques,Commerce ; réparations automobile et d'articles domestiques,1997-05-28,2000-10-31
FROSSAY,Fermé,01.2A,"Agriculture, chasse, sylviculture","Agriculture, chasse, sylviculture",1987-12-31,2007-09-30
RIAILLE,Fermé,01.2A,"Agriculture, chasse, sylviculture","Agriculture, chasse, sylviculture",1987-12-31,2003-10-31
LES MOUTIERS-EN-RETZ,Fermé,01.2A,"Agriculture, chasse, sylviculture","Agriculture, chasse, sylviculture",1987-12-31,2003-03-01
MISSILLAC,Fermé,01.42Z,"Culture et production animale, chasse et services annexes","Agriculture, sylviculture et pêche",1987-12-31,2018-04-29
GUEMENE-PENFAO,Fermé,01.2A,"Agriculture, chasse, sylviculture","Agriculture, chasse, sylviculture",,1997-12-31
DERVAL,Fermé,01.41Z,"Culture et production animale, chasse et services annexes","Agriculture, sylviculture et pêche",1990-01-01,2017-12-31
SUCE-SUR-ERDRE,Fermé,01.2A,"Agriculture, chasse, sylviculture","Agriculture, chasse, sylviculture",1987-12-31,2000-12-03
BEAUPREAU-EN-MAUGES,Fermé,64.20Z,"Activités des services financiers, hors assurance et caisses de retraite",Activités financières et d'assurance,1997-06-18,2015-12-22
LE MANS,Fermé,52.6D,Commerce ; réparations automobile et d'articles domestiques,Commerce ; réparations automobile et d'articles domestiques,1997-07-02,
LES SABLES D'OLONNE,Fermé,55.3A,Hôtels et restaurants,Hôtels et restaurants,1997-07-01,2004-08-31
LES HERBIERS,Fermé,01.2A,"Agriculture, chasse, sylviculture","Agriculture, chasse, sylviculture",1987-12-31,2006-12-31
CARBAY,Fermé,01.2A,"Agriculture, chasse, sylviculture","Agriculture, chasse, sylviculture",1982-12-31,2004-03-01
SAINT-CALAIS,Fermé,93.0D,"Services collectifs, sociaux et personnels","Services collectifs, sociaux et personnels",1997-06-17,2004-08-29
CHERRE-AU,Fermé,01.1A,"Agriculture, chasse, sylviculture","Agriculture, chasse, sylviculture",1982-12-31,1999-10-31
PRUILLE LE CHETIF,Fermé,01.1A,"Agriculture, chasse, sylviculture","Agriculture, chasse, sylviculture",1985-12-31,2003-09-14
SAOSNES,Fermé,01.11Z,"Culture et production animale, chasse et services annexes","Agriculture, sylviculture et pêche",1982-12-31,2019-10-01
SOULIGNE-FLACE,Fermé,01.1A,"Agriculture, chasse, sylviculture","Agriculture, chasse, sylviculture",1985-12-31,2003-01-10
NANTES,Fermé,01.1C,"Agriculture, chasse, sylviculture","Agriculture, chasse, sylviculture",1987-12-31,1998-12-31
LAVAL,Fermé,55.3A,Hôtels et restaurants,Hôtels et restaurants,1997-08-01,2002-02-10
COSMES,Fermé,01.1A,"Agriculture, chasse, sylviculture","Agriculture, chasse, sylviculture",,1997-12-31
