commune,etat,activite_principale,soussection,section,date_creation,date_fermeture
LE RIBAY,Fermé,45.4C,Construction,Construction,1964-01-01,2002-12-31
ANCENIS-SAINT-GEREON,Fermé,62.11,Commerce de détail alimentaire de proximité ou spécialisé,Commerce de détail indépendant d'alimentation générale,,
TERVAL,Fermé,86.21Z,Activités pour la santé humaine,Santé humaine et action sociale,1900-01-01,2014-09-30
NANTES,Fermé,86.21Z,Activités pour la santé humaine,Santé humaine et action sociale,1984-09-01,2015-09-30
SAINT-SEBASTIEN-SUR-LOIRE,Fermé,60.2L,Transports et communications,Transports et communications,,1993-09-30
SAINT-AIGNAN-GRANDLIEU,Fermé,74.10,Auxiliaires de transport et agences de voyages,Routage,,1984-12-25
LA TESSOUALLE,Fermé,55.73,Industrie de mise en oeuvre du bâtiment et du génie civil et agricole,"Aménagements, finitions",,1991-03-31
SAINT-NAZAIRE,Fermé,62.46,Commerce de détail alimentaire de proximité ou spécialisé,Commerce de détail de confiserie et commerces de détail alimentaires divers,,1991-09-25
LES SABLES D'OLONNE,Fermé,70.2A,"Immobilier, location et services aux entreprises","Immobilier, location et services aux entreprises",1996-07-11,2004-05-14
LAVAL,Fermé,69.23,"Transports routiers, transports urbains, transports par conduite",Taxis,,1984-12-25
SAINT-REVEREND,Fermé,55.71,Industrie de mise en oeuvre du bâtiment et du génie civil et agricole,Menuiserie-serrurerie,,1991-09-30
BOUILLE-MENARD,Fermé,86.21Z,Activités pour la santé humaine,Santé humaine et action sociale,1988-04-07,2012-12-31
BOUILLE-MENARD,Fermé,45.4D,Construction,Construction,1978-01-01,2004-06-30
SAUMUR,Fermé,85.1G,Santé et action sociale,Santé et action sociale,,1997-03-31
LE GREZ,Fermé,70.2C,"Immobilier, location et services aux entreprises","Immobilier, location et services aux entreprises",1978-01-01,2005-12-31
GENNES-VAL-DE-LOIRE,Fermé,43.33Z,Travaux de construction spécialisés,Construction,2009-07-15,2023-04-30
VILLENEUVE-EN-RETZ,Fermé,00.10,,,,1984-12-25
RIVES-D'AUTISE,Fermé,62.41,Commerce de détail alimentaire de proximité ou spécialisé,Commerce de détail de fruits et légumes,,1985-12-25
RENAZE,Fermé,64.11,Commerce de détail non alimentaire spécialisé,Commerce de détail de l'habillement,,1990-07-31
MANSIGNE,Fermé,58.12,Commerce de gros non alimentaire,Commerces de gros divers,,1985-12-25
CHANGE,Fermé,01.4B,"Agriculture, chasse, sylviculture","Agriculture, chasse, sylviculture",1986-12-15,2000-02-29
AUBIGNY-LES CLOUZEAUX,Fermé,81.21,Location de biens immobiliers,Location d'immeubles à usages industriels et commerciaux,,1985-12-25
NANTES,Fermé,85.1G,Santé et action sociale,Santé et action sociale,1978-01-01,1998-12-31
REZE,Fermé,51.1R,Commerce ; réparations automobile et d'articles domestiques,Commerce ; réparations automobile et d'articles domestiques,2001-09-01,2002-02-24
MAYENNE,Fermé,97.23,Services divers fournis à la collectivité (non marchands),Autres services fournis à la collectivité (services non marchands à caractère privé),,1987-04-21
ECOMMOY,Fermé,64.12,Commerce de détail non alimentaire spécialisé,Commerce de détail de la chaussure voyage,,1991-07-31
ANGERS,Fermé,45.4J,Construction,Construction,1978-01-01,2000-06-30
BAUGE-EN-ANJOU,Fermé,10.13B,Industries alimentaires,Industrie manufacturière,1964-01-01,2009-03-31
ANGERS,Fermé,55.1A,Hôtels et restaurants,Hôtels et restaurants,1987-04-01,1999-09-17
CHOLET,Fermé,52.4Z,Commerce ; réparations automobile et d'articles domestiques,Commerce ; réparations automobile et d'articles domestiques,1986-04-22,1998-02-27
